Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C6, C9",CL31A106KBHNNNE,4,10uF,
C10,C0805C121J5GACTU,1,120pF,
"C2, C7",CL31B475KBHNNNE,2,4.7uF,
"C3, C4, C5, C8",C1206C104K5RACTU,4,0.1uF,
J1,CONN2_B2B-PH-K-S_JST,1,B2B-PH-K-S,
KAILH_SWITCH1,Kailh_Switch,1,Left,
KAILH_SWITCH2,Kailh_Switch,1,Right,
KAILH_SWITCH3,Kailh_Switch,1,Thumb1,
KAILH_SWITCH4,Kailh_Switch,1,Thumb2,
L1,DFE252012P-1R0M=P2,1,470nH,
NRF52840_PROMICRO1,nrf52840_promicro,1,nrf52840,
PMW3389DM-T3QU1,pmw3389dm-t3qu,1,pmw3389,
R1,RC1206FR-0710KL,1,10k,
R2,RC0805N_YAG,1,13,
R5,RES_CRGCQ1206F330K_TEC,1,330k,
SW1,SW_1218_EWI,1,Power,
SW2,SW_1218_EWI,1,Signal,
SW3,SW4_1825910-B_TEC,1,Scroll_Button,
SW4,SW4_1825910-B_TEC,1,DPI_Button,
U1,TPS62821DLCR,1,TPS62821DLCR,
U2,TTC_Gold_Encoder,1,TTC_Gold_Encoder,
