Designator,Mid X,Mid Y,Rotation,Layer
C1,104.5,-110.5,90.0,bottom
C10,100.5,-110.5,0.0,top
C11,98.0,-108.0,180.0,top
C2,104.5,-105.46,270.0,bottom
C3,107.0,-110.5,90.0,bottom
C4,107.0,-105.5,270.0,bottom
C5,107.0,-106.5,90.0,top
C6,104.5,-106.5,90.0,top
C7,104.0,-118.5,270.0,top
C8,124.0,-103.5,180.0,top
C9,124.0,-101.0,180.0,top
J1,131.499999,-120.0,180.0,top
KAILH_SWITCH1,100.0,-60.0,0.0,top
KAILH_SWITCH2,130.0,-60.0,0.0,top
KAILH_SWITCH3,95.0,-85.0,0.0,top
KAILH_SWITCH4,95.0,-98.5,0.0,top
L1,100.5,-116.0,180.0,top
NRF52840_PROMICRO1,115.0,-66.5,0.0,top
PMW3389DM-T3QU1,115.0,-110.095,0.0,top
R1,123.98,-111.5,180.0,top
R2,124.5,-106.0,180.0,top
R5,98.0,-113.0,180.0,top
SW1,132.0,-112.5,90.0,bottom
SW2,132.0,-107.5,90.0,bottom
SW3,127.760599,-74.0,90.0,top
SW4,114.9894,-93.249999,270.0,top
U1,103.0,-113.0,270.0,top
U2,101.5,-74.0,270.0,top
